Swiss food composition database – Generic foods V6.1 (28.03.2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyms,Category,Density,Matrix unit,"Energy, kilojoules (kJ)",Derivation of value,Source,"Energy, kilocalories (kcal)",Derivation of value,Source,"Fat, total (g)",Derivation of value,Source,"Fatty acids, saturated (g)",Derivation of value,Source,"Fatty acids, monounsaturated (g)",Derivation of value,Source,"Fatty acids, polyunsaturated (g)",Derivation of value,Source,Cholesterol (mg),Derivation of value,Source,"Carbohydrates, available (g)",Derivation of value,Source,Sugars (g),Derivation of value,Source,Starch (g),Derivation of value,Source,Dietary fibres (g),Derivation of value,Source,Protein (g),Derivation of value,Source,Salt (NaCl) (g),Derivation of value,Source,Alcohol (g),Derivation of value,Source,Wasser (g),Derivation of value,Source,"Vitamin A activity, RE (µg-RE)",Derivation of value,Source,"Vitamin A activity, RAE (µg-RE)",Derivation of value,Source,All-trans retinol equivalents (µg-RE),Derivation of value,Source,Beta- carotene activity (µg-BCE),Derivation of value,Source,Beta-carotene (µg),Derivation of value,Source,Vitamin B1 (thiamine) (mg),Derivation of value,Source,Vitamin B2 (riboflavin) (mg),Derivation of value,Source,Vitamin B6 (pyridoxine) (mg),Derivation of value,Source,Vitamin B12 (cobalamin) (µg),Derivation of value,Source,Niacin (mg),Derivation of value,Source,Folate (µg),Derivation of value,Source,Panthotenic acid (mg),Derivation of value,Source,Vitamin C (ascorbic acid) (mg),Derivation of value,Source,Vitamin D (calciferol) (µg),Derivation of value,Source,Vitamin E activity (mg-ATE),Derivation of value,Source,Potassium (K) (mg),Derivation of value,Source,Sodium (Na) (mg),Derivation of value,Source,Chloride (Cl) (mg),Derivation of value,Source,Calcium (Ca) (mg),Derivation of value,Source,Magnesium (Mg) (mg),Derivation of value,Source,Phosphorus (P) (mg),Derivation of value,Source,Iron (Fe) (mg),Derivation of value,Source,Iodide (I) (µg),Derivation of value,Source,Zinc (Zn) (mg),Derivation of value,Source,Selenium (Se) (µg),Derivation of value,Source,Record has changed
1482,,,"Apricot pie, baked (with cake dough)",,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",,per 100g edible portion,586,Automated calculation,,140,Automated calculation,,6,Calculation on the basis of ingredients,,3.3,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,37,Calculation on the basis of ingredients,,17.6,Calculation on the basis of ingredients,,8.5,Calculation on the basis of ingredients,,9,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,3,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,71.8,Automated calculation,,263,Automated calculation,,160,Automated calculation,,58,Calculation on the basis of ingredients,,1227,Calculation on the basis of ingredients,,1132,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,5.7,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,3.1,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.63,Calculation on the basis of ingredients,,230,Calculation on the basis of ingredients,,90,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,26,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,49,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,2.9,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,n.d.,,,Nein
1481,,,"Apricot pie, baked (with puff pastry)",,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",,per 100g edible portion,573,Automated calculation,,137,Automated calculation,,6.8,Calculation on the basis of ingredients,,3.8,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,39,Calculation on the basis of ingredients,,15.4,Calculation on the basis of ingredients,,8.5,Calculation on the basis of ingredients,,6.9,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,2.6,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,73.5,Automated calculation,,272,Automated calculation,,169,Automated calculation,,67,Calculation on the basis of ingredients,,1231,Calculation on the basis of ingredients,,1135,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.37,Calculation on the basis of ingredients,,5.4,Calculation on the basis of ingredients,,0.29,Calculation on the basis of ingredients,,3.1,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.64,Calculation on the basis of ingredients,,230,Calculation on the basis of ingredients,,93,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,26,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,45,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,2.9,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Nein
379,3629,1000842,"Apricot, raw",,Fruit/Fresh fruit,,per 100g edible portion,204,Automated calculation,,48,Automated calculation,,0.1,-,43,tr.,-,43,tr.,-,43,tr.,-,43,0,-,43,10,-,43,10,-,43,tr.,-,43,2.1,-,43,0.8,-,43,0,Automated calculation,,0,-,43,86.7,-,43,302,Automated calculation,,151,Automated calculation,,0,Estimation,51,1813,-,1530;1662,1859,-,105;124;1670,0.03,-,43;1670,0.04,-,43;1670,0.06,-,43;1670,0,-,43,0.48,-,43;1670,7,-,43,0.23,-,43;1670,5.7,-,43;1670,0,-,43,0.7,-,43,320,-,43,2,-,43,1,-,36,16,-,43,10,-,43,20,-,43,0.4,-,43,0.5,-,36,0.1,-,36,n.d.,,,Nein
1051,3766,,"Apricot, stewed, drained (without addition of sugar) ",,Fruit/Cooked fruit (incl. cans),,per 100g edible portion,255,Automated calculation,,60,Automated calculation,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,12.5,Calculation on the basis of ingredients,,12.5,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.6,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,83.8,Automated calculation,,378,Automated calculation,,189,Automated calculation,,0,Calculation on the basis of ingredients,,2266,Calculation on the basis of ingredients,,1743,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.54,Calculation on the basis of ingredients,,6.1,Calculation on the basis of ingredients,,0.26,Calculation on the basis of ingredients,,4.9,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.88,Calculation on the basis of ingredients,,350,Calculation on the basis of ingredients,,2.5,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,19,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,25,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
621,3599,1001168,"Apricot, sweetened, canned",,Fruit/Cooked fruit (incl. cans),,per 100g edible portion,354,Automated calculation,,83,Automated calculation,,0.1,-,22,tr.,-,22,tr.,-,22,tr.,-,22,0,-,22,19,-,22,19,-,22,tr.,-,22,1.9,-,22,0.7,-,22,0,Automated calculation,,0,-,22,78,-,22,149,Automated calculation,,75,Automated calculation,,0,-,51,895,-,51,713,-,89,0.03,-,22,0.04,-,22,0.06,-,22,0,-,22,0.49,-,22,3.2,-,22,0.23,-,22,3.2,-,22,0,-,22,0.47,-,22,260,-,22,1.8,-,22,1.1,-,22,14,-,22,9,-,22,18,-,22,0.4,-,22,0.5,-,22,0.1,-,22,n.d.,,,Nein
623,4730,1001170,"Apricot, unsweetened, canned",,Fruit/Cooked fruit (incl. cans),,per 100g edible portion,204,Automated calculation,,48,Automated calculation,,0.1,-,22,tr.,-,22,tr.,-,22,tr.,-,22,0,-,22,10,-,22,10,-,22,tr.,-,22,2.1,-,22,0.8,-,22,0,Automated calculation,,0,-,22,86.7,-,22,149,Automated calculation,,75,Automated calculation,,0,-,51,895,-,51,713,-,89,0.03,-,22,0.05,-,22,0.06,-,22,0,-,22,0.54,-,22,3.5,-,22,0.26,-,22,3.5,-,22,0,-,22,0.53,-,22,280,-,22,2,-,22,1,-,22,15,-,22,10,-,22,20,-,22,0.4,-,22,0.5,-,22,0.1,-,22,n.d.,,,Nein
443,3820,1000925,"Asparagus, raw",,Vegetables/Fresh vegetables,,per 100g edible portion,115,Automated calculation,,27,Automated calculation,,0.2,-,43,tr.,-,43,tr.,-,43,tr.,-,43,0,-,43,3.3,-,43,3.2,-,43,0.1,-,43,1.7,-,43,2.2,-,43,0,Automated calculation,,0,-,43,92,-,43,98,Automated calculation,,49,Automated calculation,,0,Estimation,51,590,Estimation,51,581,-,69,0.15,-,43,0.13,-,43,0.08,-,43,0,-,43,1.1,-,43,128,-,43,0.2,-,43,14,-,43,0,-,43,1.7,-,43,270,-,43,3,-,43,53,-,9,22,-,43,18,-,43,56,-,43,0.9,-,43,7,-,9,0.4,-,9,n.d.,,,Nein
1024,4240,,"Asparagus, steamed (without addition of salt)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,115,Automated calculation,,27,Automated calculation,,0.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,3.3,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,92.6,Automated calculation,,98,Automated calculation,,49,Automated calculation,,0,Calculation on the basis of ingredients,,590,Calculation on the basis of ingredients,,523,Calculation on the basis of ingredients,,0.12,Calculation on the basis of ingredients,,0.12,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.88,Calculation on the basis of ingredients,,76.8,Calculation on the basis of ingredients,,0.17,Calculation on the basis of ingredients,,10.5,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,230,Calculation on the basis of ingredients,,2.6,Calculation on the basis of ingredients,,50,Calculation on the basis of ingredients,,21,Calculation on the basis of ingredients,,16,Calculation on the basis of ingredients,,53,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,6.7,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,n.d.,,,Ja
380,4361,1000843,"Avocado, fresh",,"Vegetables/Fresh vegetables;Nuts, seeds and oleaginous fruit",,per 100g edible portion,594,Automated calculation,,144,Automated calculation,,14.2,-,43,2.9,-,43,8.9,-,43,1.8,-,43,0,-,43,0.8,-,43,0.8,-,43,tr.,-,43,3,-,43,1.8,-,43,0,Automated calculation,,0,-,43,76.4,-,43,17,Automated calculation,,8,Automated calculation,,0,Estimation,51,100,Estimation,51,67,-,164,0.07,-,43;1669,0.16,-,43,0.23,-,43;1669,0,-,43,2,-,43,39.9,-,43;1669,0.86,-,43;1669,7.5,-,43;1669,0,-,43,1.85,-,43,520,-,43,7,-,43,6,-,36,16,-,43,33,-,43,44,-,43,1,-,43,1,-,36,0.6,-,36,n.d.,,,Ja
704,3723,1001281,Bacon for cooking,,Sausages and cold meats/Raw sausage products,,per 100g edible portion,1330,Automated calculation,,322,Automated calculation,,27.6,-,1032,10.6,-,1032,12.9,-,1032,2.2,-,1032,49,-,1032,0.6,-,1032,0.6,-,1032,0,Estimation,22,0,-,22,17.8,-,1032,2.8,Automated calculation,,0,-,22,50.5,-,1032,6,Automated calculation,,6,Automated calculation,,6,-,8;1662;1690,0,Estimation,51,0,Estimation,51,0.62,-,1032;1673;1690,0.14,-,1032;1673;1690,0.22,-,1032;1673;1690,tr.,-,1032,4.08,-,1032;1673;1690,3,-,9,0.6,-,1032,24.3,-,1032,0.6,-,1032,0.29,-,9,270,-,1032,1130,-,1032,1690,-,1032,10,-,1032,16,-,1032,150,-,1032,0.4,-,1032,1.1,-,9,2,-,1032,11,-,1032,Nein
707,3725,1001290,"Bacon, raw",,Sausages and cold meats/Raw sausage products,,per 100g edible portion,1660,Automated calculation,,400,Automated calculation,,34.3,-,1032,13.1,-,1032,15.5,-,1032,2.3,-,1032,62,-,1032,0.6,-,1032,0.6,-,1010,tr.,-,22,0,-,22,22.1,-,1032,3.8,Automated calculation,,0,-,22,39,-,1032,4,Automated calculation,,4,Automated calculation,,4,-,145,0,Estimation,51,0,Estimation,51,0.56,-,1032,0.14,-,1032,0.3,-,1032,0.5,-,1032,6.9,-,1032,tr.,-,22,1.1,-,1032,8.3,-,1032,1.7,-,1032,tr.,-,22,400,-,1032,1520,-,1032,2370,-,1032,tr.,-,22,22,-,1032,210,-,1032,tr.,-,22,tr.,-,22,2.3,-,1032,9.6,-,1032,Nein
845,3572,1001514,Baguette,,"Bread, flakes and breakfast cereals/Bread and bread products",,per 100g edible portion,1080,Automated calculation,,255,Automated calculation,,0.9,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,51.2,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,50.1,Calculation on the basis of ingredients,,2.9,Calculation on the basis of ingredients,,9,Calculation on the basis of ingredients,,1.6,Automated calculation,,0,Calculation on the basis of ingredients,,36.8,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.12,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.09,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,0.63,Calculation on the basis of ingredients,,8.8,Calculation on the basis of ingredients,,0.26,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.19,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,660,Calculation on the basis of ingredients,,1020,Calculation on the basis of ingredients,,10,Calculation on the basis of ingredients,,22,Calculation on the basis of ingredients,,81,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,Nein
1577,,,"Bami Goreng, prepared",,Prepared dishes/Asian dishes,,per 100g edible portion,580,Automated calculation,,137,Automated calculation,,2.6,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,44,Calculation on the basis of ingredients,,13.9,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,12.1,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,1,Automated calculation,,0,Calculation on the basis of ingredients,,68.4,Automated calculation,,69,Automated calculation,,41,Automated calculation,,14,Calculation on the basis of ingredients,,328,Calculation on the basis of ingredients,,283,Calculation on the basis of ingredients,,0.09,Calculation on the basis of ingredients,,0.09,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,3.61,Calculation on the basis of ingredients,,4.3,Calculation on the basis of ingredients,,0.31,Calculation on the basis of ingredients,,12.5,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,180,Calculation on the basis of ingredients,,410,Calculation on the basis of ingredients,,560,Calculation on the basis of ingredients,,9.3,Calculation on the basis of ingredients,,17,Calculation on the basis of ingredients,,120,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,19,Calculation on the basis of ingredients,,Nein
741,4403,1001336,"Banana, dried",,Fruit/Dried fruit,,per 100g edible portion,1160,Automated calculation,,273,Automated calculation,,1,-,43,0.4,-,43,0.1,-,43,0.2,-,43,0,-,43,60.2,-,43,43.7,-,43,16.5,-,43,5.5,-,43,3,-,43,0,Automated calculation,,0,-,43,28,-,43,17,Automated calculation,,8,Automated calculation,,0,Estimation,51,100,Estimation,51,100,-,61,0.1,-,43,0.18,-,43,0.81,-,36,0,-,43,2,-,43,33.3,-,36,0.54,-,36,4,-,43,0,-,43,0.6,-,43,1150,-,43,8,-,43,300,-,36,20,-,43,90,-,43,75,-,43,1.3,-,43,8.1,-,36,0.6,-,36,n.d.,,,Nein
740,4402,1001335,"Banana, dried (banana chips)",,Fruit/Dried fruit,,per 100g edible portion,1570,Automated calculation,,370,Automated calculation,,1.8,-,43,0.7,-,43,0.2,-,43,0.3,-,43,0,-,43,80.7,-,43,65.3,-,43,15.4,-,43,7.6,-,43,3.9,-,43,0,Automated calculation,,0,-,43,3,-,43,61,Automated calculation,,30,Automated calculation,,0,Estimation,51,363,Estimation,51,350,-,164,0.18,-,43,0.24,-,43,tr.,-,22,0,-,43,2.8,-,43,tr.,-,22,tr.,-,22,7,-,43,0,-,43,tr.,-,22,1490,-,43,3,-,43,tr.,-,22,22,-,43,110,-,43,74,-,43,1.2,-,43,tr.,-,22,tr.,-,22,n.d.,,,Nein
381,4479,1000844,"Banana, raw",,Fruit/Fresh fruit,,per 100g edible portion,403,Automated calculation,,95,Automated calculation,,0.3,-,43,0.1,-,43,tr.,-,43,0.1,-,43,0,-,43,21,-,43,17.2,-,43,3.8,-,43,2,-,43,1.1,-,43,0,Automated calculation,,0,-,43,74,-,43,18,Automated calculation,,9,Automated calculation,,0,Estimation,51,109,Estimation,51,77,-,134,0.05,-,43;1670,0.05,-,43;1670,0.37,-,43;1670,0,-,43,0.62,-,43;1670,23,-,43,0.26,-,43;1670,12,-,43,0,-,43,0.29,-,43,390,-,43,1,-,43,110,-,36,8,-,43,30,-,43,22,-,43,0.4,-,43,2,-,36,0.2,-,36,n.d.,,,Nein
739,3836,1001334,Barley flakes,,"Bread, flakes and breakfast cereals/Flakes, bran and germs",,per 100g edible portion,1410,Automated calculation,,333,Automated calculation,,1.5,-,1528,0.3,-,1528,0.1,-,1528,0.7,-,1528,0,-,1528,66.1,-,1528,2.2,-,1528,63.6,-,1528,10.3,-,1528,8.5,-,1640,0,Automated calculation,,0,Estimation,1648,12.4,-,1528,0,Automated calculation,,0,Automated calculation,,0,Estimation,1648,0,Estimation,1648,0,-,1528,0.2,-,1528,0.08,-,1528,0.29,-,1528,0,-,1528,3.1,-,1528,19,-,1528,0.49,-,1528,0,-,1528,0,-,1528,0.25,-,1528,160,-,1528,3,-,1528,20,-,1528,16,-,1528,66,-,1528,190,-,1528,2,-,1528,1,-,1528,1.3,-,1528,n.d.,,,Nein
1587,,,"Barley risotto, cooked",,"Cereal products, pulses and potatoes/Other cereal products",,per 100g edible portion,579,Automated calculation,,137,Automated calculation,,2.2,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,24.8,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,23,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,3.7,Calculation on the basis of ingredients,,0.8,Automated calculation,,0,Calculation on the basis of ingredients,,67.8,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.81,Calculation on the basis of ingredients,,5.2,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.43,Calculation on the basis of ingredients,,57,Calculation on the basis of ingredients,,340,Calculation on the basis of ingredients,,540,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,23,Calculation on the basis of ingredients,,71,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,n.d.,,,Nein
464,4425,1000946,"Basil, raw",,Vegetables/Herbs,,per 100g edible portion,194,Automated calculation,,46,Automated calculation,,0.8,-,9,0.1,-,9,0,-,9,0.4,-,9,0,-,9,5.1,-,9,5,-,9,0.1,-,9,3.1,-,9,3.1,-,9,0,Automated calculation,,0,-,9,86.4,-,9,811,Automated calculation,,405,Automated calculation,,0,Estimation,51,4865,Estimation,51,4820,-,125,0.08,-,9,0.31,-,9,0.18,-,9,0,-,9,1.1,-,9,50,-,9,0.2,-,9,26,-,9,0,-,9,1,-,9,300,-,9,9,-,9,35,-,9,250,-,9,11,-,9,37,-,9,5.5,-,9,0.9,-,9,0.7,-,9,n.d.,,,Nein
1248,,,Basler Leckerli (Swiss biscuit from Basel),,Sweets/Cookies/Biscuits,,per 100g edible portion,1720,Automated calculation,,407,Automated calculation,,7.5,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,4.6,Calculation on the basis of ingredients,,2.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,74.5,Calculation on the basis of ingredients,,51.7,Calculation on the basis of ingredients,,23.1,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,7.5,Calculation on the basis of ingredients,,0,Automated calculation,,0.8,Calculation on the basis of ingredients,,7.5,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.12,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.59,Calculation on the basis of ingredients,,10.1,Calculation on the basis of ingredients,,0.18,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,4.3,Calculation on the basis of ingredients,,180,Calculation on the basis of ingredients,,2.8,Calculation on the basis of ingredients,,28,Calculation on the basis of ingredients,,51,Calculation on the basis of ingredients,,40,Calculation on the basis of ingredients,,98,Calculation on the basis of ingredients,,1.2,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,n.d.,,,Ja
473,4050,1000958,"Bean, green, dried",,Vegetables/Dried vegetables,,per 100g edible portion,1060,Automated calculation,,252,Automated calculation,,2,-,9,0.4,-,9,0.1,-,9,1.1,-,9,0,-,9,25.7,-,9,9.5,-,9,10.3,-,9,25.3,-,9,20.2,-,9,0.1,Automated calculation,,0,-,9,6,-,9,229,Automated calculation,,114,Automated calculation,,0,Estimation,51,1371,Estimation,51,1371,-,8,0.45,-,9;1642,0.71,-,9,1.33,-,9;1642,0,-,9,4.1,-,9,186,-,9,2.19,-,9;1642,67.6,-,9,0,-,9,1,-,9,2510,-,9;1542,21,-,9;1542,140,-,9,540,-,9;1542,230,-,9;1542,400,-,9;1542,7.2,-,9;1542,25,-,9,2.5,-,9,n.d.,,,Nein
353,4744,1000814,"Bean, green, raw",,Vegetables/Fresh vegetables,,per 100g edible portion,129,Automated calculation,,31,Automated calculation,,0.2,-,43,0.1,-,43,0,-,43,0.1,-,43,0,-,43,3.6,-,43,2.2,-,43,1.4,-,43,3.1,-,43,2.1,-,43,0,Automated calculation,,0,-,43,90.3,-,43,64,Automated calculation,,32,Automated calculation,,0,Estimation,51,383,Estimation,51,306,-,89,0.08,-,43,0.1,-,43,0.14,-,43,0,-,43,0.7,-,43,70,-,43,0.9,-,43,16,-,43,0,-,43,0.24,-,43,240,-,43,4,-,43,13,-,36,56,-,43,28,-,43,38,-,43,1,-,43,3,-,36,0.3,-,36,n.d.,,,Nein
12981,,,Béchamel sauce home made,,Various/Sauces,,per 100g edible portion,613,Automated calculation,,147,Automated calculation,,9.9,Calculation on the basis of ingredients,,6,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,31,Calculation on the basis of ingredients,,10.2,Calculation on the basis of ingredients,,4.8,Calculation on the basis of ingredients,,5.4,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,4.2,Calculation on the basis of ingredients,,0.7,Automated calculation,,0,Calculation on the basis of ingredients,,75.4,Automated calculation,,107,Automated calculation,,103,Automated calculation,,99,Calculation on the basis of ingredients,,44,Calculation on the basis of ingredients,,45,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.22,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,0.16,Calculation on the basis of ingredients,,2.8,Calculation on the basis of ingredients,,0.32,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.27,Calculation on the basis of ingredients,,170,Calculation on the basis of ingredients,,300,Calculation on the basis of ingredients,,490,Calculation on the basis of ingredients,,120,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,100,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,9.9,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,n.d.,,,Nein
1103,3643,,"Beef (average excluding offal, chop), raw",,Meat and offal/Beef,,per 100g edible portion,565,Automated calculation,,134,Automated calculation,,5.4,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,53,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,21.4,Calculation on the basis of ingredients,,0.1,Automated calculation,,0,Calculation on the basis of ingredients,,73.2,Automated calculation,,7,Automated calculation,,6,Automated calculation,,5,Calculation on the basis of ingredients,,10,Calculation on the basis of ingredients,,10,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,0.31,Calculation on the basis of ingredients,,2.85,Calculation on the basis of ingredients,,4.82,Calculation on the basis of ingredients,,5.9,Calculation on the basis of ingredients,,0.68,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.44,Calculation on the basis of ingredients,,330,Calculation on the basis of ingredients,,45,Calculation on the basis of ingredients,,69,Calculation on the basis of ingredients,,4.5,Calculation on the basis of ingredients,,20,Calculation on the basis of ingredients,,180,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,4.5,Calculation on the basis of ingredients,,n.d.,,,Ja
